EnsemblID	GeneID	count
ENSG00000105327	27113	1916
ENSG00000105329	7040	69865
ENSG00000105341	55101	1
ENSG00000105352	1089	131
ENSG00000105364	51073	13
ENSG00000105369	973	29811
ENSG00000105371	3386	71
ENSG00000105372	6223	336
ENSG00000105373	29997	71
ENSG00000105376	7087	116
ENSG00000105388	1048	806
ENSG00000105397	7297	1332
ENSG00000105401	11140	381
ENSG00000105402	8775	492
ENSG00000105404	10567	62
ENSG00000105409	478	366
ENSG00000105419	56917	17
ENSG00000105427	84518	13
ENSG00000105429	1954	32
ENSG00000105514	9545	80
ENSG00000105518	374882	13
ENSG00000105520	64748	5
ENSG00000105568	5518	203
ENSG00000105605	59284	10
ENSG00000105609	10990	22
ENSG00000105617	79165	769
ENSG00000105618	26121	334
ENSG00000105619	29844	133
ENSG00000105668	11045	70
ENSG00000105672	2116	109
ENSG00000105675	495	110
ENSG00000105677	10430	29
ENSG00000105679	26330	86
ENSG00000105695	4099	1328
ENSG00000105697	57817	4146
ENSG00000105698	7392	332
ENSG00000105699	51599	98
ENSG00000105707	3249	305
ENSG00000105711	6324	236
ENSG00000105722	2077	374
ENSG00000105723	2931	565
ENSG00000105732	64763	5
ENSG00000105737	2901	156
ENSG00000105738	23094	16
ENSG00000105755	23474	86
ENSG00000105767	199731	38
ENSG00000105771	56006	35
ENSG00000108106	27338	277
ENSG00000108107	6158	38
ENSG00000109881	91057	19
ENSG00000109911	26610	67
ENSG00000109919	23788	128
ENSG00000109920	23360	18
ENSG00000110422	10114	218
ENSG00000110427	25758	6
ENSG00000110429	26273	56
ENSG00000110435	8050	132
ENSG00000110436	6506	989
ENSG00000110442	29099	7
ENSG00000110455	84680	190
ENSG00000110492	4192	880
ENSG00000110497	55626	184
ENSG00000110514	8567	173
ENSG00000110536	114971	37
ENSG00000112787	57666	14
ENSG00000113790	1962	145
ENSG00000113838	55171	2
ENSG00000113889	3827	6901
ENSG00000113905	3273	491
ENSG00000113916	604	3620
ENSG00000113946	10686	164
ENSG00000114062	7337	992
ENSG00000114279	2257	124
ENSG00000114315	3280	1719
ENSG00000114331	23527	31
ENSG00000114473	84223	7
ENSG00000114503	22916	111
ENSG00000114770	10057	416
ENSG00000114796	54800	58
ENSG00000114859	1181	309
ENSG00000114867	1981	1406
ENSG00000116574	58480	83
ENSG00000117877	10849	56
ENSG00000118156	84215	10
ENSG00000118160	6543	83
ENSG00000118162	11133	20
ENSG00000119227	80235	16
ENSG00000119231	205564	41
ENSG00000119596	56252	15
ENSG00000119599	26094	8
ENSG00000119608	283571	5
ENSG00000119614	338917	162
ENSG00000119616	51077	83
ENSG00000119630	5228	3990
ENSG00000119632	83982	3
ENSG00000119636	80127	2
ENSG00000119638	91754	81
ENSG00000119640	97	11
ENSG00000119650	112752	175
ENSG00000119655	10577	534
ENSG00000119661	83544	15
ENSG00000119669	64207	59
ENSG00000119681	4053	218
ENSG00000119682	9870	13
ENSG00000119684	27030	174
ENSG00000119685	23093	71
ENSG00000119686	55640	42
ENSG00000119688	5826	52
ENSG00000119689	1743	160
ENSG00000119698	57718	5
ENSG00000119699	7043	2118
ENSG00000119703	79696	2
ENSG00000119705	81892	49
ENSG00000119707	58517	41
ENSG00000119711	4329	55
ENSG00000119714	8111	164
ENSG00000119715	2103	439
ENSG00000119718	8892	46
ENSG00000119720	55051	11
ENSG00000119723	51004	46
ENSG00000119725	57862	134
ENSG00000120784	22835	4
ENSG00000121289	84902	18
ENSG00000121297	57616	37
ENSG00000121406	256051	4
ENSG00000121621	81930	147
ENSG00000121653	9479	186
ENSG00000121671	1408	551
ENSG00000121680	9409	69
ENSG00000121690	91614	8
ENSG00000121691	847	28857
ENSG00000122068	84248	3
ENSG00000122121	7512	57
ENSG00000122122	54440	54
ENSG00000122126	4952	312
ENSG00000122824	170685	40
ENSG00000123165	139741	58
ENSG00000123444	55709	16
ENSG00000123728	57826	31
ENSG00000123810	80776	15
ENSG00000123815	79934	57
ENSG00000124299	5184	569
ENSG00000124302	64377	22
ENSG00000124422	23326	249
ENSG00000124440	64344	200
ENSG00000124444	79177	769
ENSG00000124449	56269	7
ENSG00000124459	7596	9
ENSG00000124466	27076	67
ENSG00000124469	1088	854
ENSG00000124479	4693	341
ENSG00000124486	8239	355
