index,genome,identifier,file,clip,scale,sum_stat,description,Tissue,Cancer
4984,0,CNhs11811,/home/drk/tillage/datasets/human/cage/fantom/CNhs11811/summary/coverage.w5,384,1,sum,neuroblastoma cell line:NH-12,brain,Yes
4985,0,CNhs11812,/home/drk/tillage/datasets/human/cage/fantom/CNhs11812/summary/coverage.w5,384,1,sum,small cell lung carcinoma cell line:WA-hT,lung,Yes
4986,0,CNhs11813,/home/drk/tillage/datasets/human/cage/fantom/CNhs11813/summary/coverage.w5,384,1,sum,xeroderma pigentosum b cell line:XPL 17,immune cell,Yes
4987,0,CNhs11814,/home/drk/tillage/datasets/human/cage/fantom/CNhs11814/summary/coverage.w5,384,1,sum,embryonic pancreas cell line:2C6,pancreas,Yes
4988,0,CNhs11818,/home/drk/tillage/datasets/human/cage/fantom/CNhs11818/summary/coverage.w5,384,1,sum,neuroblastoma cell line:NBsusSR,brain,Yes
4989,0,CNhs11819,/home/drk/tillage/datasets/human/cage/fantom/CNhs11819/summary/coverage.w5,384,1,sum,gastric adenocarcinoma cell line:MKN45,stomach,Yes
4990,0,CNhs11820,/home/drk/tillage/datasets/human/cage/fantom/CNhs11820/summary/coverage.w5,384,1,sum,choriocarcinoma cell line:T3M-3,bone,Yes
4991,0,CNhs11821,/home/drk/tillage/datasets/human/cage/fantom/CNhs11821/summary/coverage.w5,384,1,sum,myxofibrosarcoma cell line:NMFH-1,NA,Yes
4992,0,CNhs11822,/home/drk/tillage/datasets/human/cage/fantom/CNhs11822/summary/coverage.w5,384,1,sum,Krukenberg tumor cell line:HSKTC,NA,Yes
4993,0,CNhs11824,/home/drk/tillage/datasets/human/cage/fantom/CNhs11824/summary/coverage.w5,384,1,sum,glassy cell carcinoma cell line:HOKUG,cervix,Yes
4994,0,CNhs11825,/home/drk/tillage/datasets/human/cage/fantom/CNhs11825/summary/coverage.w5,384,1,sum,large cell non-keratinizing squamous carcinoma cell line:SKG-II-SF,NA,Yes
4995,0,CNhs11827,/home/drk/tillage/datasets/human/cage/fantom/CNhs11827/summary/coverage.w5,384,1,sum,serous cystadenocarcinoma cell line:HTOA,epithelium,Yes
4996,0,CNhs11828,/home/drk/tillage/datasets/human/cage/fantom/CNhs11828/summary/coverage.w5,384,1,sum,tridermal teratoma cell line:HGRT,NA,Yes
4997,0,CNhs11829,/home/drk/tillage/datasets/human/cage/fantom/CNhs11829/summary/coverage.w5,384,1,sum,sacrococcigeal teratoma cell line:HTST,NA,Yes
4998,0,CNhs11830,/home/drk/tillage/datasets/human/cage/fantom/CNhs11830/summary/coverage.w5,384,1,sum,peripheral neuroectodermal tumor cell line:KU-SN,NA,Yes
4999,0,CNhs11832,/home/drk/tillage/datasets/human/cage/fantom/CNhs11832/summary/coverage.w5,384,1,sum,pancreatic carcinoma cell line:NOR-P1,pancreas,Yes
5000,0,CNhs11833,/home/drk/tillage/datasets/human/cage/fantom/CNhs11833/summary/coverage.w5,384,1,sum,chondrosarcoma cell line:SW 1353,cartilage,Yes
5001,0,CNhs11834,/home/drk/tillage/datasets/human/cage/fantom/CNhs11834/summary/coverage.w5,384,1,sum,carcinoid cell line:NCI-H1770,NA,Yes
5002,0,CNhs11835,/home/drk/tillage/datasets/human/cage/fantom/CNhs11835/summary/coverage.w5,384,1,sum,osteoclastoma cell line:Hs 706.T,bone,Yes
5003,0,CNhs11836,/home/drk/tillage/datasets/human/cage/fantom/CNhs11836/summary/coverage.w5,384,1,sum,Ewing's sarcoma cell line:Hs 863.T,bone,Yes
5004,0,CNhs11837,/home/drk/tillage/datasets/human/cage/fantom/CNhs11837/summary/coverage.w5,384,1,sum,transitional cell carcinoma cell line:Hs 769.T,NA,Yes
5005,0,CNhs11838,/home/drk/tillage/datasets/human/cage/fantom/CNhs11838/summary/coverage.w5,384,1,sum,alveolar cell carcinoma cell line:SW 1573,lung,Yes
5006,0,CNhs11840,/home/drk/tillage/datasets/human/cage/fantom/CNhs11840/summary/coverage.w5,384,1,sum,bronchioalveolar carcinoma cell line:NCI-H358,lung,Yes
5007,0,CNhs11841,/home/drk/tillage/datasets/human/cage/fantom/CNhs11841/summary/coverage.w5,384,1,sum,bronchogenic carcinoma cell line:ChaGo-K-1,lung,Yes
5008,0,CNhs11842,/home/drk/tillage/datasets/human/cage/fantom/CNhs11842/summary/coverage.w5,384,1,sum,fibrous histiocytoma cell line:GCT TIB-223,skin,Yes
5009,0,CNhs11843,/home/drk/tillage/datasets/human/cage/fantom/CNhs11843/summary/coverage.w5,384,1,sum,hairy cell leukemia cell line:Mo,immune cell,Yes
5010,0,CNhs11844,/home/drk/tillage/datasets/human/cage/fantom/CNhs11844/summary/coverage.w5,384,1,sum,acantholytic squamous carcinoma cell line:HCC1806,skin,Yes
5011,0,CNhs11845,/home/drk/tillage/datasets/human/cage/fantom/CNhs11845/summary/coverage.w5,384,1,sum,biphenotypic B myelomonocytic leukemia cell line:MV-4-11,NA,Yes
