pathway,pval,padj,log2err,ES,NES,size
GOBP_METANEPHROS_DEVELOPMENT,0.708888888888889,0.899047619047619,0.0667426134241917,-0.357068892209837,-0.805510966418034,9
GOBP_VESICLE_COATING,0.709251101321586,0.899104350466755,0.0662842187012672,-0.430492769320811,-0.817146276552123,5
GOBP_CELLULAR_RESPONSE_TO_GLUCOCORTICOID_STIMULUS,0.70985401459854,0.899306491533315,0.0572461135202885,0.434302307100065,0.815102822152132,5
GOBP_NEUROMUSCULAR_JUNCTION_DEVELOPMENT,0.710045662100457,0.899306491533315,0.0679922591544058,-0.347087870532055,-0.804021748169594,10
GOCC_TRANSPORT_VESICLE,0.712616822429907,0.901315919659642,0.0689567351672811,-0.264293494047238,-0.860770559382712,41
GOCC_RUFFLE_MEMBRANE,0.712962962962963,0.901315919659642,0.0577308549299813,0.406777150835913,0.80381926861404,6
GOCC_SCHAFFER_COLLATERAL_CA1_SYNAPSE,0.713503649635037,0.901315919659642,0.0570059526582387,0.43363598024908,0.813852253394301,5
GOMF_RECEPTOR_TYROSINE_KINASE_BINDING,0.713503649635037,0.901315919659642,0.0570059526582387,0.433351910862403,0.813319109188106,5
GOBP_ENDOTHELIUM_DEVELOPMENT,0.713780918727915,0.901315919659642,0.0554793308704233,0.339997844266062,0.807113042757084,12
GOBP_REGULATION_OF_PROTEIN_STABILITY,0.713953488372093,0.901315919659642,0.0686325631836726,-0.262696328240845,-0.849527764489953,38
GOCC_SWI_SNF_SUPERFAMILY_TYPE_COMPLEX,0.714539007092199,0.901315919659642,0.0555947097758869,0.361453725831579,0.821448942881752,10
GOBP_IMMUNE_RESPONSE_TO_TUMOR_CELL,0.714814814814815,0.901315919659642,0.057609110864425,0.404468756556184,0.79925772478644,6
GOBP_MRNA_3_END_PROCESSING,0.714814814814815,0.901315919659642,0.057609110864425,0.403560693210622,0.797463329961694,6
GOBP_REGULATION_OF_RESPONSE_TO_TUMOR_CELL,0.714814814814815,0.901315919659642,0.057609110864425,0.404468756556184,0.79925772478644,6
GOBP_REGULATION_OF_ACTION_POTENTIAL,0.716450216450216,0.90222916943613,0.0649407684612899,-0.382093727809045,-0.777601815932587,6
